,MSE,FID,TVI,TVA,LBP,HOG
0,0.001807575230486691,1.084899759007385e-05,191.23291015625,68.61542510986328,1023208.0,124.04745483398438
1,0.002433927496895194,7.851691407267936e-06,241.07107543945312,46.10264587402344,1003389.0,112.69806671142578
2,0.003005201229825616,7.989902769622859e-06,252.5767364501953,43.0633659362793,1035794.0,103.68940734863281
3,0.0002605703193694353,1.1401735719118733e-05,171.20579528808594,75.22010040283203,1091760.0,139.39260864257812
4,0.00013697310350835323,1.1582664228626527e-05,149.08245849609375,84.26338195800781,1119782.0,153.28041076660156
5,8.592086669523269e-05,1.1660239579214249e-05,133.23580932617188,90.58594512939453,1125691.0,162.52294921875
6,6.13351512583904e-05,1.1666563295875676e-05,124.1124038696289,92.54666900634766,1112662.0,167.5060577392578
7,4.797638030140661e-05,1.1716841072484385e-05,117.61019897460938,94.6080551147461,1130246.0,169.31130981445312
8,3.546767038642429e-05,1.1712155355780851e-05,107.72819519042969,97.09686279296875,1141087.0,168.19476318359375
9,2.723471334320493e-05,1.173585496871965e-05,101.8185043334961,98.31108093261719,1161864.0,175.3911895751953
10,2.5385708795511164e-05,1.1725129297701642e-05,101.47291564941406,98.7143783569336,1127428.0,176.22523498535156
11,2.981721263495274e-05,1.1647315659502055e-05,104.91680908203125,96.9789810180664,1138642.0,172.8441162109375
12,5.9932866861345246e-05,1.1101061318186112e-05,121.39425659179688,85.42927551269531,1072460.0,163.22471618652344
13,3.5054614272667095e-05,1.1446260032244027e-05,108.82767486572266,91.95535278320312,1118364.0,165.02870178222656
14,3.231585651519708e-05,1.1324089427944273e-05,104.09459686279297,91.9744873046875,1137984.0,162.58726501464844
15,4.29854953836184e-05,1.092544880521018e-05,105.03701782226562,87.81768798828125,1104912.0,163.0596923828125
16,0.0006776005611754954,1.0706713510444388e-05,190.9612274169922,59.468414306640625,1147855.0,147.29660034179688
17,4.659072510548867e-05,1.1024176274077035e-05,104.94922637939453,89.62667083740234,1103536.0,159.64840698242188
18,4.190509571344592e-05,1.1203977919649333e-05,101.7405776977539,90.94642639160156,1118742.0,160.3048553466797
19,4.860738408751786e-05,1.088574299501488e-05,102.97425842285156,88.5281982421875,1106966.0,158.45689392089844
20,6.004022361594252e-05,1.0805186320794746e-05,110.00720977783203,84.2967529296875,1098331.0,159.72616577148438
21,0.00010031728743342683,1.0808957085828297e-05,127.3941421508789,77.75004577636719,1090684.0,155.1842041015625
22,7.941735384520143e-05,1.0704201486078091e-05,111.75242614746094,80.63520812988281,1093839.0,157.1021270751953
23,8.052009798120707e-05,1.0688307156669907e-05,109.7756118774414,81.79185485839844,1094551.0,155.41751098632812
24,7.545092375949025e-05,1.0911237041000277e-05,103.84801483154297,84.2520751953125,1082519.0,159.5810089111328
25,7.371635729214177e-05,1.0899200788117014e-05,102.70443725585938,84.85120391845703,1091370.0,159.05245971679688
26,0.00011862852261401713,1.0884826224355493e-05,109.54841613769531,80.68614196777344,1085026.0,156.60244750976562
27,6.762165867257863e-05,1.110789344238583e-05,120.89046478271484,82.15620422363281,1079893.0,155.90940856933594
28,6.751598266419023e-05,1.1053323760279454e-05,118.6248779296875,82.178466796875,1078405.0,156.72047424316406
29,6.359327380778268e-05,1.1225986781937536e-05,99.25829315185547,87.59828186035156,1097456.0,159.64248657226562
30,6.254234176594764e-05,1.13051228254335e-05,97.85538482666016,89.39689636230469,1100608.0,160.0841827392578
31,5.734708611271344e-05,1.1402788004488684e-05,96.22245788574219,91.50283813476562,1114491.0,161.8671417236328
32,5.527877510758117e-05,1.1412628737161867e-05,94.23418426513672,91.16571044921875,1107660.0,163.8103790283203
33,0.00011995767272310331,1.1183950846316293e-05,100.75977325439453,82.27296447753906,1099114.0,159.96060180664062
34,0.00014599374844692647,1.1267642548773438e-05,104.02000427246094,81.57466888427734,1103959.0,161.1405792236328
35,8.013192564249039e-05,1.1275976248725783e-05,107.83875274658203,84.17816925048828,1085304.0,161.9254150390625
36,9.162185597233474e-05,1.1292249837424606e-05,106.1328125,83.55917358398438,1076934.0,159.5760955810547
37,9.477216372033581e-05,1.1320319572405424e-05,102.8540267944336,84.83219146728516,1093331.0,160.03346252441406
38,9.393051004735753e-05,1.1375490430509672e-05,97.3346176147461,86.02574157714844,1111247.0,161.70443725585938
39,0.00011840681690955535,1.1348696716595441e-05,95.72295379638672,84.91094970703125,1100369.0,161.4768524169922
