,Unnamed: 0,Lambda,FID,MSE
322,322,1.0,1419.2213134765625,0.13923116422883247
365,365,1.0,1719.8084716796875,0.09985339276203327
381,381,1.0,645.296142578125,0.15731175971233333
263,263,1.0,1555.4359130859375,0.10508290628138736
194,194,1.0,1599.36767578125,0.13985603972303626
63,63,1.0,1560.3428955078125,0.13262629601105466
87,87,1.0,1481.2724609375,0.15109916647995758
123,123,1.0,1477.3167724609375,0.12986288497867496
111,111,1.0,1408.7054443359375,0.1575311729298869
334,334,2.0,1597.341064453125,0.08554959901353018
295,295,2.0,1609.004150390625,0.10416705551368632
260,260,2.0,905.8052368164062,0.0810070610728226
11,11,2.0,1273.787353515625,0.09510133303204804
96,96,2.0,1484.2725830078125,0.09964792468477307
301,301,2.0,1715.4893798828125,0.07780414607861767
223,223,2.0,1592.364013671875,0.093348388332565
309,309,2.0,1770.05712890625,0.10422120200346338
2,2,2.0,755.350830078125,0.09856027354918724
92,92,2.0,1666.318359375,0.0925253048766473
184,184,3.0,1671.4029541015625,0.057262367463585824
250,250,3.0,1081.5670166015623,0.0607701502831397
349,349,3.0,1179.5743408203125,0.06605222589600446
248,248,3.0,906.0398559570312,0.08033342668642406
259,259,3.0,1406.7388916015625,0.07945313154069768
55,55,3.0,819.4898071289062,0.06939166822973906
335,335,3.0,1265.651611328125,0.06926643688924078
254,254,3.0,1483.07177734375,0.055003749446242686
120,120,3.0,1324.3167724609375,0.0706575452507189
337,337,3.0,909.7515869140624,0.058572303568538764
310,310,5.0,969.4269409179688,0.040749247057860524
166,166,5.0,851.9074096679688,0.050417439171503216
315,315,5.0,1520.7984619140625,0.05165648375870525
305,305,5.0,820.0639038085938,0.042797928651499575
343,343,5.0,921.814453125,0.041969913916546565
157,157,5.0,1002.3014526367188,0.03817906202369796
307,307,5.0,1593.489501953125,0.05786076380820141
364,364,5.0,1376.27001953125,0.04872519484771851
232,232,5.0,1484.5086669921875,0.054043119160706136
370,370,5.0,993.0445556640624,0.04250183687807051
331,331,10.0,1025.867431640625,0.0174375738579215
73,73,10.0,1086.22802734375,0.019189650183369374
141,141,10.0,1348.0316162109375,0.0276453334577757
135,135,10.0,925.957275390625,0.014570445183883169
46,46,10.0,1346.356689453125,0.01881536860606876
84,84,10.0,973.630859375,0.021842338967250036
90,90,10.0,1786.3985595703125,0.027870304643499738
91,91,10.0,1330.386962890625,0.015442807506308788
306,306,10.0,1431.0496826171875,0.019695697919301244
13,13,10.0,1100.530517578125,0.017836425462704638
291,291,17.0,1642.7587890625,0.013091074862165677
115,115,17.0,1391.2412109375,0.01381630261294784
233,233,17.0,1059.8316650390623,0.00993060692832431
85,85,17.0,1070.80908203125,0.010556231572850992
101,101,17.0,1472.457763671875,0.011454116972142098
204,204,17.0,1382.43701171875,0.013080940284717938
140,140,17.0,1343.2818603515625,0.010109517726370957
177,177,17.0,1086.1571044921877,0.010806123769473605
251,251,17.0,1330.0804443359375,0.011174811485820184
348,348,17.0,1272.646484375,0.009679433801201565
316,316,28.0,1664.8092041015625,0.007021059882142668
351,351,28.0,1182.5557861328125,0.006797734601255874
267,267,28.0,1565.0799560546875,0.007273213434128643
20,20,28.0,1466.7333984375,0.006064860681786653
182,182,28.0,1209.9140625,0.006098362461687655
286,286,28.0,1400.511474609375,0.006211357957124582
50,50,28.0,1915.0272216796875,0.014047822107392673
94,94,28.0,1313.860107421875,0.00691321086054384
330,330,28.0,1450.129638671875,0.009041015786290895
384,384,28.0,1341.4698486328125,0.006576564127390722
25,25,49.0,1650.3138427734375,0.013705618444191148
131,131,49.0,1535.2022705078125,0.008997660497568576
385,385,49.0,1468.1629638671875,0.002778774035213993
355,355,49.0,1701.3385009765625,0.003884038311948877
3,3,49.0,1512.135986328125,0.0064307000947676106
275,275,49.0,1498.141845703125,0.004553882833833238
264,264,49.0,1896.5133056640625,0.006953655809218975
148,148,49.0,1741.3775634765625,0.006505202024441816
82,82,49.0,1726.095947265625,0.004866917046460527
289,289,49.0,1500.299560546875,0.004655214243490327
104,104,83.0,1618.3734130859375,0.0032108952573688576
8,8,83.0,1420.4541015625,0.004799382480606555
328,328,83.0,1631.7872314453125,0.002474502747745532
181,181,83.0,1572.161376953125,0.003176578143127264
238,238,83.0,1774.756103515625,0.0037125665851622924
58,58,83.0,1714.342529296875,0.008317678518304167
212,212,83.0,1754.29150390625,0.005460979411153234
83,83,83.0,1660.27001953125,0.0028135507535684764
376,376,83.0,1766.606201171875,0.0037899984126180267
167,167,83.0,1437.9091796875,0.003522713075679406
86,86,142.0,1736.7705078125,0.004592810427783211
363,363,142.0,1473.6864013671875,0.002847069222521632
226,226,142.0,1691.2972412109375,0.002662748796677048
216,216,142.0,1475.54736328125,0.0025922642727282965
213,213,142.0,1633.868896484375,0.001965462101426857
244,244,142.0,1836.590087890625,0.0023132174573284197
245,245,142.0,1713.623291015625,0.0031782187947216084
142,142,142.0,1582.0032958984375,0.001903508315995757
159,159,142.0,1356.13916015625,0.001652735013306651
153,153,142.0,1704.6358642578125,0.014799342196627218
210,210,242.0,1711.2451171875,0.004515540663582464
382,382,242.0,1781.858642578125,0.002448510299043277
27,27,242.0,1802.7855224609373,0.0020423679808680875
354,354,242.0,1702.20556640625,0.0043434819016249385
49,49,242.0,1736.415283203125,0.0019513870474551047
68,68,242.0,1581.0806884765625,0.003910206510782397
269,269,242.0,1645.517578125,0.001759316546927944
0,0,242.0,1651.0299072265625,0.001785255021139407
143,143,242.0,1922.6527099609373,0.002344527899860455
324,324,242.0,1683.741455078125,0.012924759831651408
18,18,412.0,1543.653564453125,0.0015579884347179296
139,139,412.0,2479.676513671875,0.001469285149869256
205,205,412.0,1491.3031005859375,0.0014691199798843215
290,290,412.0,2097.83154296875,0.0012876844159193212
220,220,412.0,1702.6187744140625,0.0022983847599839648
169,169,412.0,1973.33349609375,0.00235567423936909
318,318,412.0,1813.205078125,0.0012339014632659607
6,6,412.0,1630.833984375,0.005172894613731881
112,112,412.0,1768.7216796875,0.002113541894077494
