,Lambda,FID,MSE
72,0.04,3481.020751953125,0.8210927062426515
73,10.0,1086.22802734375,0.019189650183369378
74,0.01701,3481.05224609375,0.8210927062428811
75,0.2,1482.098876953125,0.1889468106080193
76,0.00588,3481.0205078125,0.8210927062416121
77,0.00024,3480.9794921875,0.8210927062412989
78,2030.0,2203.6962890625,0.00010765430073846585
79,0.4,1567.70654296875,0.11174232711657654
80,0.00588,3481.0595703125,0.821092706243777
81,0.7,1455.186767578125,0.16353783350585702
82,49.0,1726.095947265625,0.004866917046460527
83,83.0,1660.27001953125,0.0028135507535684764
84,10.0,973.630859375,0.021842338967250033
85,17.0,1070.80908203125,0.010556231572850993
86,142.0,1736.7705078125,0.004592810427783211
87,1.0,1481.2724609375,0.15109916647995758
88,0.00014,3480.9267578125,0.8210927062349956
89,0.0007,3481.00146484375,0.8210927062419028
90,10.0,1786.3985595703125,0.027870304643499738
91,10.0,1330.386962890625,0.015442807506308786
92,2.0,1666.318359375,0.0925253048766473
93,0.4,1502.481689453125,0.18201324351130943
94,28.0,1313.860107421875,0.00691321086054384
95,0.04,3480.9990234375,0.8210927062430565
96,2.0,1484.2725830078125,0.09964792468477307
97,3455.5878,1708.0145263671875,0.00031762443311143503
98,0.00014,3480.99560546875,0.8210927062416988
99,0.00203,3480.98974609375,0.8210927062432666
100,10000.0,2141.57763671875,0.0002126487827186125
101,17.0,1472.457763671875,0.011454116972142098
102,0.02,3480.939697265625,0.8210927062406355
103,0.00346,3481.0419921875,0.8210927062433699
104,83.0,1618.3734130859375,0.0032108952573688576
105,2e-05,1270.780517578125,0.5950190791974437
106,0.7,1597.1309814453125,0.13330013855359057
107,0.00346,3480.9970703125,0.8210927062412031
108,1e-05,3481.06298828125,0.8210927062427754
109,0.00119,3480.9365234375,0.821092706241115
110,0.00588,3480.8955078125,0.8210927062412927
111,1.0,1408.7054443359375,0.1575311729298869
112,412.0,1768.7216796875,0.002113541894077494
113,0.08,3481.073486328125,0.8210927062434126
114,2030.0,2054.704833984375,0.00023447718681955768
115,17.0,1391.2412109375,0.01381630261294784
116,0.00014,3480.9404296875,0.8210927062427829
117,0.00014,3480.972412109375,0.8210927062420772
118,0.00014,3480.953369140625,0.8210927062411376
119,3455.5878,2179.869873046875,0.00011106135018089215
120,3.0,1324.3167724609375,0.0706575452507189
121,0.00346,3481.01953125,0.8210927062431045
122,0.08,3480.96923828125,0.8210927062377891
123,1.0,1477.3167724609375,0.12986288497867496
124,0.04,3480.95849609375,0.8210927062436719
125,0.08,3481.00634765625,0.8210927062430419
126,0.00119,3480.92138671875,0.8210927062404636
127,8e-05,3481.00390625,0.8210927062417934
128,3455.5878,2015.0164794921875,0.00019136428404021452
129,0.00346,3480.98681640625,0.82109270624141
130,0.0007,3480.9970703125,0.821092706241785
131,49.0,1535.2022705078125,0.008997660497568576
132,0.04,3480.978515625,0.8210927062431019
133,0.00024,3480.9716796875,0.8210927062384461
134,0.7,1428.302978515625,0.12816924243682173
135,10.0,925.957275390625,0.01457044518388317
136,0.2,3481.041015625,0.8210927062419202
137,0.00588,3481.02734375,0.8210927062412419
138,0.2,1709.60791015625,0.1976394318217883
139,412.0,2479.676513671875,0.001469285149869256
140,17.0,1343.2818603515625,0.010109517726370955
141,10.0,1348.0316162109375,0.0276453334577757
142,142.0,1582.0032958984375,0.001903508315995757
143,242.0,1922.6527099609375,0.002344527899860455
144,0.4,1630.5794677734375,0.20977277785154638
145,0.1,3480.996337890625,0.8210927062432756
146,701.0,2149.18798828125,0.0011075578829298856
147,5e-05,3480.9990234375,0.8210927062395618
148,49.0,1741.3775634765625,0.006505202024441816
149,0.00119,3480.98095703125,0.821092706243079
150,2e-05,3480.989501953125,0.8210927062431301
151,0.00024,3480.963134765625,0.8210927062437822
152,8e-05,3480.931396484375,0.821092706238587
153,142.0,1704.6358642578125,0.01479934219662722
154,0.0007,3480.96923828125,0.8210927062341347
155,8e-05,3480.9921875,0.8210927062405166
156,0.00024,3480.984130859375,0.8210927062397679
157,5.0,1002.3014526367188,0.03817906202369796
158,0.00041,3481.107421875,0.8210927062419698
159,142.0,1356.13916015625,0.001652735013306651
160,3455.5878,2430.352783203125,0.0002687012094286179
161,2030.0,2182.606689453125,0.0003283301588276131
162,0.00346,3481.00390625,0.8210927062415202
163,0.02,1474.9334716796875,0.4221541791329433
164,412.0,1624.415771484375,0.0012293970548567974
165,0.01,3481.0322265625,0.8210927062411998
166,5.0,851.9074096679688,0.050417439171503216
167,83.0,1437.9091796875,0.003522713075679406
168,2e-05,3481.015380859375,0.8210927062437251
169,412.0,1973.33349609375,0.00235567423936909
170,0.00119,3480.971923828125,0.82109270623876
171,0.0007,3480.93310546875,0.8210927062428759
172,0.01701,3481.065673828125,0.8210927062442361
173,5e-05,3480.9326171875,0.821092706242396
174,0.1,3480.94873046875,0.8210927062307272
175,0.01701,3481.081787109375,0.8210927062433976
176,0.08,3481.013427734375,0.8210927062434575
177,17.0,1086.1571044921875,0.010806123769473604
178,0.0007,3480.925048828125,0.8210927062413168
179,3455.5878,2510.0478515625,0.00031345769979599524
180,0.00203,3481.042724609375,0.821092706243413
181,83.0,1572.161376953125,0.003176578143127264
182,28.0,1209.9140625,0.006098362461687655
183,0.2,1683.523681640625,0.14296674468156464
184,3.0,1671.4029541015625,0.05726236746358583
185,701.0,1787.9705810546875,0.0008704568483719103
186,0.01,3480.9892578125,0.8210927062433444
187,0.00203,3481.01513671875,0.8210927062416192
188,0.0007,3481.014404296875,0.8210927062419424
189,1e-05,3481.029296875,0.821092706238705
190,0.7,1435.8658447265625,0.14395924739103305
191,0.01701,3481.04541015625,0.8210927062424611
192,0.01701,3480.9951171875,0.8210927062416109
193,0.04,3481.01953125,0.8210927062415286
194,1.0,1599.36767578125,0.13985603972303626
