,Lambda,FID,MSE
70,0.04,1.6289303302764893,0.4536676202857366
71,1193.0,0.1363251805305481,0.0009202630396653425
72,0.1,1.6289300918579102,0.4536676202838346
73,3455.5878,1.4869575500488281,0.0022358832244622428
74,1.0,0.17388916015625,0.04469228184952821
75,10000.0,1.5584536790847778,0.0007121959576136828
76,0.0007,1.6289300918579102,0.4536676202837505
77,49.0,0.13272391259670258,0.0022832871942194237
78,701.0,0.14014634490013123,0.0013746786775310868
79,0.1,1.6289300918579102,0.4536676202840405
80,8e-05,1.6289300918579102,0.4536676202838745
81,242.0,0.09589961916208267,0.0014265549700690368
82,28.0,0.10014576464891434,0.005572995662545946
83,0.00014,1.6289300918579102,0.4536676202839874
84,3.0,0.0982091873884201,0.03802300961180605
85,0.00041,1.6289303302764893,0.4536676202845068
86,28.0,0.09986260533332825,0.008081009740169405
87,2e-05,1.6289300918579102,0.45366762028400826
88,10.0,0.09522788971662521,0.02145403648545018
89,2e-05,1.6289300918579102,0.4536676202839035
90,2030.0,0.1605256199836731,0.0019926228771299606
91,0.7,0.08509163558483124,0.11768921406508102
92,412.0,0.09830144792795181,0.001334839862053278
93,701.0,0.09760501235723495,0.0010307079960984805
94,3455.5878,0.9207477569580078,0.003887206362891125
95,0.08,1.6289300918579102,0.45366762028414187
96,2.0,0.2224259376525879,0.04369731474421594
97,0.00024,1.6289300918579102,0.4536676202837824
98,8e-05,1.6289303302764893,0.4536676202844118
99,10.0,0.09766565263271332,0.020890445547053476
100,142.0,0.1011933907866478,0.0023636213890688785
101,10.0,0.09803467243909836,0.021543301274062985
102,2e-05,1.6289300918579102,0.45366762028391416
103,0.04,1.6289300918579102,0.4536676202840108
104,0.2,0.22101595997810364,0.2220929423711069
105,8e-05,1.6289300918579102,0.45366762028380003
106,0.00014,1.6289300918579102,0.4536676202840725
107,412.0,0.11661316454410553,0.00260503757969482
108,0.00014,1.6289299726486206,0.4536676202845951
109,0.4,0.18860271573066711,0.08509913392746891
110,0.00014,1.6289302110671997,0.4536676202842318
111,10000.0,1.5563122034072876,0.0008530534447338743
112,5e-05,1.6289300918579102,0.4536676202847032
113,3.0,0.22490960359573364,0.039241666549344384
114,28.0,0.10483577102422714,0.005303247011277655
115,0.0007,1.6289300918579102,0.45366762028411767
116,1193.0,0.13252118229866028,0.0012792661291102726
117,0.01701,1.6289300918579102,0.4536676202838533
118,142.0,1.6289300918579102,0.45366762028368895
119,0.02,1.6289300918579102,0.4536676202838376
120,0.08,1.628929853439331,0.4536676202847461
121,0.00119,1.6289300918579102,0.4536676202840935
122,3.0,0.10538250207901001,0.03939550793958617
123,0.00346,1.6289300918579102,0.4536676202840029
124,0.00024,1.6289300918579102,0.4536676202838076
125,0.01,1.6289300918579102,0.45366762028452595
126,0.02,1.6289300918579102,0.4536676202840349
127,1.0,0.21849726140499115,0.04685630101574733
128,0.01701,1.6289300918579102,0.45366762028393104
129,83.0,0.1121387630701065,0.0023584994264213084
130,0.00588,1.6289303302764893,0.45366762028600444
131,0.00119,1.6289300918579102,0.4536676202839598
132,0.00346,1.6289300918579102,0.4536676202843886
133,0.00119,1.6289300918579102,0.453667620284277
134,0.00041,1.6289299726486206,0.45366762028428054
135,0.4,0.1653754562139511,0.0979872394243925
136,8e-05,1.6289300918579102,0.4536676202849357
137,1193.0,0.12818080186843872,0.0014793404694281808
138,0.00203,1.6289300918579102,0.45366762028398844
139,412.0,0.09777585417032242,0.0014300066452488294
140,5.0,1.628757119178772,0.45366762251568593
141,0.7,0.05883109197020531,0.1347134118843507
142,701.0,0.1558944284915924,0.0012526136123319873
143,0.00346,1.6289300918579102,0.4536676202848806
144,3e-05,1.6289300918579102,0.45366762028422425
145,0.7,0.27542635798454285,0.09705032180115607
146,10.0,0.07747898250818253,0.020734859081076466
147,0.7,0.18484711647033691,0.07030324342285743
148,83.0,1.6299076080322266,0.4536676096060114
149,17.0,0.10038594901561737,0.010347328635155308
150,0.00203,1.6289300918579102,0.45366762028419055
151,0.01701,1.6289300918579102,0.4536676202842273
152,412.0,0.10635839402675629,0.0016952544495102255
153,0.00203,1.6289299726486206,0.45366762028404634
154,701.0,0.10211316496133804,0.001854198274945418
155,3.0,1.628724217414856,0.4536676180331847
156,0.04,1.6289300918579102,0.4536676202854917
157,0.2,0.08474595844745636,0.269841747038297
158,0.00588,1.6289300918579102,0.45366762028385255
159,3455.5878,0.11172734200954437,0.00041522280528059956
160,17.0,0.0864221453666687,0.013062272612136838
161,1e-05,1.6289303302764893,0.4536676202847243
162,3455.5878,1.1885154247283936,0.0030895290263653723
163,0.7,0.10015042871236801,0.07723984676018372
164,0.02,1.6289303302764893,0.4536676202842044
165,3e-05,1.6289300918579102,0.45366762028430346
166,412.0,0.11236240714788437,0.001384746403692865
167,1.0,0.073027104139328,0.1079550745272701
