,Unnamed: 0,Lambda,FID,MSE
159,159,3455.5878,0.11172734200954436,0.0004152228052805996
12,12,3455.5878,1.5679733753204346,0.002136506612302247
162,162,3455.5878,1.1885154247283936,0.0030895290263653727
18,18,3455.5878,0.3178345561027527,0.002608595734650739
94,94,3455.5878,0.9207477569580078,0.003887206362891125
73,73,3455.5878,1.486957550048828,0.0022358832244622428
201,201,3455.5878,0.779475212097168,0.003942087592389392
13,13,3455.5878,1.5864810943603516,0.002654009770751143
180,180,10000.0,1.524569749832153,0.0006731651305391282
75,75,10000.0,1.5584536790847778,0.0007121959576136827
276,276,10000.0,1.4984023571014404,0.0009276262200966852
216,216,10000.0,1.543097734451294,0.0007633046429405543
64,64,10000.0,1.5775277614593506,0.0006647591879235593
111,111,10000.0,1.5563122034072876,0.0008530534447338742
210,210,10000.0,1.573136568069458,0.0009037618481077754
