,MSE,FID,TVI,TVA,LBP,HOG
0,0.8178631663322449,1.1711026672855951e-05,826.6888427734375,310.48797607421875,620899.0,141.86734008789062
1,0.8178631663322449,1.1712884770531673e-05,827.5913696289062,310.4882507324219,619759.0,138.67556762695312
2,0.8178631663322449,1.1712884770531673e-05,828.0557250976562,310.48828125,619071.0,138.76475524902344
3,0.8178631663322449,1.1712884770531673e-05,828.6130981445312,310.48828125,617494.0,138.79405212402344
4,0.8178631663322449,1.1712884770531673e-05,829.0798950195312,310.48828125,615951.0,138.80398559570312
5,0.8178631663322449,1.1712884770531673e-05,829.4149169921875,310.48828125,614766.0,138.80685424804688
6,0.8178631663322449,1.1712884770531673e-05,829.560302734375,310.48828125,614218.0,138.8076629638672
7,0.8178631663322449,1.1712884770531673e-05,829.6072387695312,310.48828125,614052.0,138.8079833984375
8,0.8178631663322449,1.1712884770531673e-05,829.6343994140625,310.48828125,613955.0,138.8080596923828
9,0.8178631663322449,1.1712884770531673e-05,829.6408081054688,310.48828125,613927.0,138.80812072753906
10,0.8178631663322449,1.1712884770531673e-05,829.644775390625,310.48828125,613913.0,138.80810546875
11,0.8178631663322449,1.1712884770531673e-05,829.6461181640625,310.48828125,613908.0,138.80812072753906
12,0.8178631663322449,1.1712884770531673e-05,829.6463623046875,310.48828125,613907.0,138.80812072753906
13,0.8178631663322449,1.1712884770531673e-05,829.646240234375,310.48828125,613908.0,138.80812072753906
14,0.8178631663322449,1.1712884770531673e-05,829.6463623046875,310.48828125,613907.0,138.80812072753906
15,0.8178631663322449,1.1712884770531673e-05,829.6463623046875,310.48828125,613907.0,138.80812072753906
16,0.8178631663322449,1.1712884770531673e-05,829.64599609375,310.48828125,613908.0,138.80812072753906
17,0.8178631663322449,1.1712884770531673e-05,829.6463623046875,310.48828125,613907.0,138.80812072753906
18,0.8178631663322449,1.1712884770531673e-05,829.6463623046875,310.48828125,613907.0,138.80812072753906
19,0.8178631663322449,1.1712884770531673e-05,829.6463623046875,310.48828125,613907.0,138.80812072753906
20,0.8178631663322449,1.1712884770531673e-05,829.6463623046875,310.48828125,613907.0,138.80812072753906
21,0.8178631663322449,1.1712884770531673e-05,829.6463623046875,310.48828125,613907.0,138.80812072753906
22,0.8178631663322449,1.1712884770531673e-05,829.6463623046875,310.48828125,613907.0,138.80812072753906
23,0.8178631663322449,1.1712884770531673e-05,829.6463623046875,310.48828125,613907.0,138.80812072753906
24,0.8178631663322449,1.1712884770531673e-05,829.6463623046875,310.48828125,613907.0,138.80812072753906
25,0.8178631663322449,1.1712884770531673e-05,829.6463623046875,310.48828125,613907.0,138.80812072753906
26,0.8178631663322449,1.1712884770531673e-05,829.6463623046875,310.48828125,613907.0,138.80812072753906
27,0.8178631663322449,1.1712884770531673e-05,829.6463623046875,310.48828125,613907.0,138.80812072753906
28,0.8178631663322449,1.1712884770531673e-05,829.6463623046875,310.48828125,613907.0,138.80812072753906
29,0.8178631663322449,1.1712884770531673e-05,829.6463623046875,310.48828125,613907.0,138.80812072753906
30,0.8178631663322449,1.1712884770531673e-05,829.6463623046875,310.48828125,613907.0,138.80812072753906
31,0.8178631663322449,1.1712884770531673e-05,829.6463623046875,310.48828125,613907.0,138.80812072753906
32,0.8178631663322449,1.1712884770531673e-05,829.6463623046875,310.48828125,613907.0,138.80812072753906
33,0.8178631663322449,1.1712884770531673e-05,829.6463623046875,310.48828125,613907.0,138.80812072753906
34,0.8178631663322449,1.1712884770531673e-05,829.6463623046875,310.48828125,613907.0,138.80812072753906
35,0.8178631663322449,1.1712884770531673e-05,829.6463623046875,310.48828125,613907.0,138.80812072753906
36,0.8178631663322449,1.1712884770531673e-05,829.6463623046875,310.48828125,613907.0,138.80812072753906
37,0.8178631663322449,1.1712884770531673e-05,829.6463623046875,310.48828125,613907.0,138.80812072753906
38,0.8178631663322449,1.1712884770531673e-05,829.6463623046875,310.48828125,613907.0,138.80812072753906
39,0.8178631663322449,1.1712884770531673e-05,829.6463623046875,310.48828125,613907.0,138.80812072753906
